caseId,startDate,endDate,sleepStage
2022-11-03 06:22:19,2022-11-02 22:26:14,2022-11-02 22:46:14,HKCategoryValueSleepAnalysisAsleepCore
2022-11-03 06:22:19,2022-11-02 22:46:14,2022-11-02 22:46:44,HKCategoryValueSleepAnalysisAwake
2022-11-03 06:22:19,2022-11-02 22:46:44,2022-11-02 23:04:14,HKCategoryValueSleepAnalysisAsleepCore
2022-11-03 06:22:19,2022-11-02 23:04:14,2022-11-02 23:13:14,HKCategoryValueSleepAnalysisAsleepDeep
2022-11-03 06:22:19,2022-11-02 23:13:14,2022-11-02 23:48:14,HKCategoryValueSleepAnalysisAsleepCore
2022-11-03 06:22:19,2022-11-02 23:48:14,2022-11-02 23:55:44,HKCategoryValueSleepAnalysisAsleepDeep
2022-11-03 06:22:19,2022-11-02 23:55:44,2022-11-03 00:07:14,HKCategoryValueSleepAnalysisAsleepCore
2022-11-03 06:22:19,2022-11-03 00:07:14,2022-11-03 00:27:44,HKCategoryValueSleepAnalysisAsleepDeep
2022-11-03 06:22:19,2022-11-03 00:27:44,2022-11-03 00:36:14,HKCategoryValueSleepAnalysisAsleepCore
2022-11-03 06:22:19,2022-11-03 00:36:14,2022-11-03 00:55:14,HKCategoryValueSleepAnalysisAsleepREM
2022-11-03 06:22:19,2022-11-03 00:55:14,2022-11-03 01:42:14,HKCategoryValueSleepAnalysisAsleepCore
2022-11-03 06:22:19,2022-11-03 01:42:14,2022-11-03 01:44:14,HKCategoryValueSleepAnalysisAsleepDeep
2022-11-03 06:22:19,2022-11-03 01:44:14,2022-11-03 01:51:44,HKCategoryValueSleepAnalysisAsleepCore
2022-11-03 06:22:19,2022-11-03 01:51:44,2022-11-03 01:52:14,HKCategoryValueSleepAnalysisAwake
2022-11-03 06:22:19,2022-11-03 01:52:14,2022-11-03 02:00:14,HKCategoryValueSleepAnalysisAsleepCore
2022-11-03 06:22:19,2022-11-03 02:00:14,2022-11-03 02:33:14,HKCategoryValueSleepAnalysisAsleepREM
2022-11-03 06:22:19,2022-11-03 02:33:14,2022-11-03 03:07:14,HKCategoryValueSleepAnalysisAsleepCore
2022-11-03 06:22:19,2022-11-03 03:07:14,2022-11-03 03:28:14,HKCategoryValueSleepAnalysisAsleepDeep
2022-11-03 06:22:19,2022-11-03 03:28:14,2022-11-03 03:36:14,HKCategoryValueSleepAnalysisAsleepCore
2022-11-03 06:22:19,2022-11-03 03:36:14,2022-11-03 03:52:14,HKCategoryValueSleepAnalysisAsleepREM
2022-11-03 06:22:19,2022-11-03 03:52:14,2022-11-03 03:52:44,HKCategoryValueSleepAnalysisAsleepCore
2022-11-03 06:22:19,2022-11-03 03:52:44,2022-11-03 03:55:44,HKCategoryValueSleepAnalysisAsleepREM
2022-11-03 06:22:19,2022-11-03 03:55:44,2022-11-03 04:57:44,HKCategoryValueSleepAnalysisAsleepCore
2022-11-03 06:22:19,2022-11-03 04:57:44,2022-11-03 05:12:44,HKCategoryValueSleepAnalysisAsleepREM
2022-11-03 06:22:19,2022-11-03 05:12:44,2022-11-03 05:13:44,HKCategoryValueSleepAnalysisAwake
2022-11-03 06:22:19,2022-11-03 05:13:44,2022-11-03 06:00:44,HKCategoryValueSleepAnalysisAsleepCore
2022-11-03 06:22:19,2022-11-03 06:00:44,2022-11-03 06:02:14,HKCategoryValueSleepAnalysisAwake
2022-11-03 06:22:19,2022-11-03 06:02:14,2022-11-03 06:04:44,HKCategoryValueSleepAnalysisAsleepCore
2022-11-03 06:22:19,2022-11-03 06:04:44,2022-11-03 06:09:14,HKCategoryValueSleepAnalysisAwake
2022-11-03 06:22:19,2022-11-03 06:09:14,2022-11-03 06:20:14,HKCategoryValueSleepAnalysisAsleepCore
2022-11-03 06:22:19,2022-11-02 21:43:20,2022-11-03 06:22:19,HKCategoryValueSleepAnalysisInBed
